"product_id";"basic_nutrition_id";"subcategory_id";"description";"source";"is_final";"is_verified";"language"
"01189";"01189";"0100";"KRAFT CHEEZ WHIZ LIGHT Pasteurized Process Cheese Product";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01190";"01190";"0100";"KRAFT FREE Singles American Nonfat Pasteurized Process Cheese Product";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01191";"01191";"0100";"KRAFT VELVEETA Pasteurized Process Cheese Spread";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01192";"01192";"0100";"KRAFT VELVEETA LIGHT Reduced Fat Pasteurized Process Cheese Product";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01193";"01193";"0100";"KRAFT BREAKSTONE'S Reduced Fat Sour Cream";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01194";"01194";"0100";"KRAFT BREAKSTONE'S FREE Fat Free Sour Cream";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01199";"01199";"0100";"Cream, half and half, fat free";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01200";"01200";"0100";"Reddi Wip Fat Free Whipped Topping";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01202";"01202";"0100";"Milk, chocolate, fluid, commercial, reduced fat, with added calcium";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01203";"01203";"0100";"Yogurt, fruit, lowfat, with low calorie sweetener";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01204";"01204";"0100";"Cheese, parmesan, dry grated, reduced fat";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01205";"01205";"0100";"Cream substitute, flavored, liquid";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01206";"01206";"0100";"Cream substitute, flavored, powdered";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01208";"01208";"0100";"Cheese, provolone, reduced fat";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01209";"01209";"0100";"Cheese, Mexican, blend, reduced fat";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01211";"01211";"0100";"Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01212";"01212";"0100";"Milk, dry, whole, without added vitamin D";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01215";"01215";"0100";"Cheese product, pasteurized process, American, reduced fat, fortified with vitamin D";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01216";"01216";"0100";"Yogurt, fruit, low fat, 9 grams protein per 8 ounce, fortified with vitamin D";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01217";"01217";"0100";"Yogurt, fruit, low fat, 10 grams protein per 8 ounce, fortified with vitamin D";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01218";"01218";"0100";"Yogurt, fruit variety, nonfat, fortified with vitamin D";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01219";"01219";"0100";"Yogurt, fruit, lowfat, with low calorie sweetener, fortified with vitamin D";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01220";"01220";"0100";"Yogurt, vanilla, low fat, fortified with vitamin D";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01221";"01221";"0100";"Yogurt, vanilla or lemon flavor, nonfat milk, sweetened with low-calorie sweetener, fortified with vitamin D";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01222";"01222";"0100";"Yogurt, chocolate, nonfat milk, fortified with vitamin D";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01223";"01223";"0100";"Protein supplement, milk based, Muscle Milk, powder";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01224";"01224";"0100";"Protein supplement, milk based, Muscle Milk Light, powder";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01225";"01225";"0100";"Dulce de Leche";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01226";"01226";"0100";"Egg substitute, liquid or frozen, fat free";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01227";"01227";"0100";"Cheese, dry white, queso seco";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01228";"01228";"0100";"Cheese, fresh, queso fresco";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01229";"01229";"0100";"Cheese, white, queso blanco";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01230";"01230";"0100";"Milk, buttermilk, fluid, whole";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01231";"01231";"0100";"Yogurt, vanilla flavor, lowfat milk, sweetened with low calorie sweetener";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01235";"01235";"0100";"Yogurt, frozen, flavors not chocolate, nonfat milk, with low-calorie sweetener";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01236";"01236";"0100";"Ice cream, soft serve, chocolate";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01237";"01237";"0100";"Ice cream, bar or stick, chocolate covered";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01238";"01238";"0100";"Ice cream sandwich";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01239";"01239";"0100";"Ice cream cookie sandwich";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01240";"01240";"0100";"Ice cream cone, chocolate covered, with nuts, flavors other than chocolate";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01241";"01241";"0100";"Ice cream sandwich, made with light ice cream, vanilla";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01242";"01242";"0100";"Ice cream sandwich, vanilla, light, no sugar added";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01243";"01243";"0100";"Fat free ice cream, no sugar added, flavors other than chocolate";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01244";"01244";"0100";"Milk dessert bar, frozen, made from lowfat milk";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01001";"01001";"0100";"Butter, salted";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01002";"01002";"0100";"Butter, whipped, with salt";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01003";"01003";"0100";"Butter oil, anhydrous";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01004";"01004";"0100";"Cheese, blue";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01005";"01005";"0100";"Cheese, brick";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01006";"01006";"0100";"Cheese, brie";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01007";"01007";"0100";"Cheese, camembert";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01008";"01008";"0100";"Cheese, caraway";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01009";"01009";"0100";"Cheese, cheddar (Includes foods for USDA's Food Distribution Program)";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01010";"01010";"0100";"Cheese, cheshire";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01011";"01011";"0100";"Cheese, colby";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01012";"01012";"0100";"Cheese, cottage, creamed, large or small curd";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01013";"01013";"0100";"Cheese, cottage, creamed, with fruit";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01014";"01014";"0100";"Cheese, cottage, nonfat, uncreamed, dry, large or small curd";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01015";"01015";"0100";"Cheese, cottage, lowfat, 2% milkfat";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01016";"01016";"0100";"Cheese, cottage, lowfat, 1% milkfat";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01017";"01017";"0100";"Cheese, cream";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01018";"01018";"0100";"Cheese, edam";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01019";"01019";"0100";"Cheese, feta";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01020";"01020";"0100";"Cheese, fontina";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01021";"01021";"0100";"Cheese, gjetost";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01022";"01022";"0100";"Cheese, gouda";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01023";"01023";"0100";"Cheese, gruyere";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01024";"01024";"0100";"Cheese, limburger";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01025";"01025";"0100";"Cheese, monterey";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01026";"01026";"0100";"Cheese, mozzarella, whole milk";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01027";"01027";"0100";"Cheese, mozzarella, whole milk, low moisture";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01028";"01028";"0100";"Cheese, mozzarella, part skim milk";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01029";"01029";"0100";"Cheese, mozzarella, low moisture, part-skim";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01030";"01030";"0100";"Cheese, muenster";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01031";"01031";"0100";"Cheese, neufchatel";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01032";"01032";"0100";"Cheese, parmesan, grated";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01033";"01033";"0100";"Cheese, parmesan, hard";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01034";"01034";"0100";"Cheese, port de salut";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01035";"01035";"0100";"Cheese, provolone";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01036";"01036";"0100";"Cheese, ricotta, whole milk";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01037";"01037";"0100";"Cheese, ricotta, part skim milk";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01038";"01038";"0100";"Cheese, romano";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01039";"01039";"0100";"Cheese, roquefort";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01040";"01040";"0100";"Cheese, swiss";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01041";"01041";"0100";"Cheese, tilsit";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01042";"01042";"0100";"Cheese, pasteurized process, American, fortified with vitamin D";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01043";"01043";"0100";"Cheese, pasteurized process, pimento";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01044";"01044";"0100";"Cheese, pasteurized process, swiss";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01045";"01045";"0100";"Cheese food, cold pack, American";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01046";"01046";"0100";"Cheese food, pasteurized process, American, vitamin D fortified";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01047";"01047";"0100";"Cheese food, pasteurized process, swiss";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01048";"01048";"0100";"Cheese spread, pasteurized process, American";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01049";"01049";"0100";"Cream, fluid, half and half";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01050";"01050";"0100";"Cream, fluid, light (coffee cream or table cream)";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01052";"01052";"0100";"Cream, fluid, light whipping";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01053";"01053";"0100";"Cream, fluid, heavy whipping";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
