"product_id";"subcategory_id";"description";"source";"is_final";"is_verified";"language_id"
"01013";"0100";"Cheese, cottage, creamed, with fruit";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01014";"0100";"Cheese, cottage, nonfat, uncreamed, dry, large or small curd";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01015";"0100";"Cheese, cottage, lowfat, 2% milkfat";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01016";"0100";"Cheese, cottage, lowfat, 1% milkfat";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01017";"0100";"Cheese, cream";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01018";"0100";"Cheese, edam";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01019";"0100";"Cheese, feta";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01020";"0100";"Cheese, fontina";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01021";"0100";"Cheese, gjetost";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01022";"0100";"Cheese, gouda";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01023";"0100";"Cheese, gruyere";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01024";"0100";"Cheese, limburger";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01025";"0100";"Cheese, monterey";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01026";"0100";"Cheese, mozzarella, whole milk";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01027";"0100";"Cheese, mozzarella, whole milk, low moisture";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01028";"0100";"Cheese, mozzarella, part skim milk";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01029";"0100";"Cheese, mozzarella, low moisture, part-skim";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01030";"0100";"Cheese, muenster";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01031";"0100";"Cheese, neufchatel";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01032";"0100";"Cheese, parmesan, grated";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01033";"0100";"Cheese, parmesan, hard";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01034";"0100";"Cheese, port de salut";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01035";"0100";"Cheese, provolone";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01036";"0100";"Cheese, ricotta, whole milk";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01037";"0100";"Cheese, ricotta, part skim milk";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01038";"0100";"Cheese, romano";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01039";"0100";"Cheese, roquefort";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01040";"0100";"Cheese, swiss";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01041";"0100";"Cheese, tilsit";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01042";"0100";"Cheese, pasteurized process, American, fortified with vitamin D";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01043";"0100";"Cheese, pasteurized process, pimento";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01044";"0100";"Cheese, pasteurized process, swiss";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01045";"0100";"Cheese food, cold pack, American";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01046";"0100";"Cheese food, pasteurized process, American, vitamin D fortified";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01047";"0100";"Cheese food, pasteurized process, swiss";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01048";"0100";"Cheese spread, pasteurized process, American";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01049";"0100";"Cream, fluid, half and half";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01050";"0100";"Cream, fluid, light (coffee cream or table cream)";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01052";"0100";"Cream, fluid, light whipping";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01053";"0100";"Cream, fluid, heavy whipping";"http://www.ars.usda.gov/nutrientdata";0;0;1
